code,meigara,kana,kuramoto,ken,shi,address¥n1235,京極,きょうごく,二世古酒造,北海道,虻田郡,北海道虻田郡倶知安町旭47
3718,よーいとナ,よーいとな,秋田酒造,秋田県,秋田市,秋田県秋田市新屋元町23-28
3719,新屋衆,あらやしゅう,秋田酒造,秋田県,秋田市,秋田県秋田市新屋元町23-28
1475,秋田晴,あきたばれ,秋田酒造,秋田県,秋田市,秋田県秋田市新屋元町23-28
53,英雄,えいゆう,森川酒造店,秋田県,秋田市,秋田県秋田市
1306,黄金井,こがねい,黄金井酒造,秋田県,秋田市,秋田県秋田市
56,銀鱗,ぎんりん,那波商店,秋田県,秋田市,秋田県秋田市土崎港中央1丁目16-41
2820,山田川,やまだがわ,武石酒造店,秋田県,湯沢市,秋田県湯沢市
2327,銀嶺白山,ぎんれいはくさん,武石酒造店,秋田県,湯沢市,秋田県湯沢市
3774,BREEZE,ぶりーず,両関酒造,秋田県,湯沢市,秋田県湯沢市前森4-3-18
2738,翠玉,すいぎょく,両関酒造,秋田県,湯沢市,秋田県湯沢市前森4-3-18
3437,雪月花,せつげつか,両関酒造,秋田県,湯沢市,秋田県湯沢市前森4-3-18
3438,霧時雨,きりしぐれ,両関酒造,秋田県,湯沢市,秋田県湯沢市前森4-3-18
65,両関,りょうぜき,両関酒造,秋田県,湯沢市,秋田県湯沢市前森4-3-18
3439,青時雨,あおしぐれ,両関酒造,秋田県,湯沢市,秋田県湯沢市前森4-3-18
2825,花邑,はなむら,両関酒造,秋田県,湯沢市,秋田県湯沢市前森4-3-18
213,爛漫,らんまん,秋田銘醸,秋田県,湯沢市,秋田県湯沢市大工町4-23
3000,角右衛門,かくえもん,木村酒造,秋田県,湯沢市,秋田県湯沢市田町2-1-11
212,福小町,ふくこまち,木村酒造,秋田県,湯沢市,秋田県湯沢市田町2-1-11
1400,一滴千両,いってきせんりょう,秋田県醗酵工業,秋田県,湯沢市,秋田県湯沢市深堀中川原120-8
3727,雪桜,ゆきざくら,秋田県醗酵工業,秋田県,湯沢市,秋田県湯沢市深堀中川原120-8
2877,とんとん拍子,とんとんびょうし,秋田県醗酵工業,秋田県,湯沢市,秋田県湯沢市深堀中川原120-8
2695,小野こまち,おのこまち,秋田県醗酵工業,秋田県,湯沢市,秋田県湯沢市深堀中川原120-8
3446,横手,よこて,阿櫻酒造,秋田県,横手市,秋田県横手市大沢字西野67-2
3807,秋田ばやし,あきたばやし,阿櫻酒造,秋田県,横手市,秋田県横手市大沢字西野67-2
1399,かまくら,かまくら,阿櫻酒造,秋田県,横手市,秋田県横手市大沢字西野67-2
1583,阿櫻,,阿櫻酒造,秋田県,横手市,秋田県横手市大沢字西野67-2
1398,雪の音,ゆきのね,阿櫻酒造,秋田県,横手市,秋田県横手市大沢字西野67-2
3726,雪櫻,,阿櫻酒造,秋田県,横手市,秋田県横手市大沢字西野67-2
3284,夏田冬蔵,なつたふゆぞう,浅舞酒造,秋田県,横手市,秋田県横手市平鹿町浅舞字浅舞388
210,天の戸,あまのと,浅舞酒造,秋田県,横手市,秋田県横手市平鹿町浅舞字浅舞388
3073,染井櫻,,浅舞酒造,秋田県,横手市,秋田県横手市平鹿町浅舞字浅舞388
64,朝乃舞,あさのまい,舞鶴酒造,秋田県,横手市,秋田県横手市平鹿町浅舞字浅舞184
1416,田从,たびと,舞鶴酒造,秋田県,横手市,秋田県横手市平鹿町浅舞字浅舞184
208,月下の舞,げっかのまい,舞鶴酒造,秋田県,横手市,秋田県横手市平鹿町浅舞字浅舞184
3626,たてのい,たてのい,沼館酒造,秋田県,横手市,秋田県横手市
205,館の井,たてのい,沼館酒造,秋田県,横手市,秋田県横手市
211,大納川,だいながわ,備前酒造本店,秋田県,横手市,秋田県横手市大森町字大森169
209,八重寿,やえす,八重寿銘醸,秋田県,大仙市,秋田県大仙市若竹町26-19
2998,GRAND A-1,ぐらん えーわん,鈴木酒造店,秋田県,大仙市,秋田県大仙市長野字二日町九
2999,龍蟠,りゅうばん,鈴木酒造店,秋田県,大仙市,秋田県大仙市長野字二日町九
3716,真木雪華,まぎせっか,鈴木酒造店,秋田県,大仙市,秋田県大仙市長野字二日町九
2769,ラシャンテ,らしゃんて,鈴木酒造店,秋田県,大仙市,秋田県大仙市長野字二日町九
199,秀よし,ひでよし,鈴木酒造店,秋田県,大仙市,秋田県大仙市長野字二日町九
3130,竜巻,たつまき,秋田清酒,秋田県,大仙市,秋田県大仙市戸地谷字天ケ沢83-1
1477,秋田富士,あきたふじ,金紋秋田酒造,秋田県,大仙市,秋田県大仙市藤木西八圭34-2
2889,山吹,やまぶき,金紋秋田酒造,秋田県,大仙市,秋田県大仙市藤木西八圭34-2
2891,角間川,かくまがわ,金紋秋田酒造,秋田県,大仙市,秋田県大仙市藤木西八圭34-2
2892,うまいっしょう,うまいっしょう,金紋秋田酒造,秋田県,大仙市,秋田県大仙市藤木西八圭34-2
